forecast_date,origin_port,destination_port,vessel_class,transit_days,avg_speed_knots
2023-01-01,BALIKPAPAN,KAMARAJAR,Supramax,7.5,12.5
2023-01-01,HAY_POINT,DHAMRA,Capesize,15.0,12.5
2023-01-01,HAY_POINT,PARADIP,Capesize,14.6,12.5
2023-01-01,HAY_POINT,VISAKHAPATNAM,Capesize,14.6,12.5
2023-01-01,MAPUTO,VISAKHAPATNAM,Panamax,15.3,12.5
2023-01-01,NEWCASTLE,DHAMRA,Panamax,15.9,12.5
2023-01-01,RICHARDS_BAY,PARADIP,Capesize,15.2,12.5
2023-01-01,TANJUNG_BARA,DHAMRA,Supramax,8.2,12.5
2023-01-01,TANJUNG_BARA,PARADIP,Supramax,7.8,12.5
2023-01-01,GLADSTONE,PARADIP,Panamax,15.5,12.5
2023-01-02,HAY_POINT,PARADIP,Capesize,15.2,12.5
2023-01-02,NEWCASTLE,DHAMRA,Panamax,14.7,12.5
2023-01-02,MAPUTO,VISAKHAPATNAM,Panamax,14.9,12.5
2023-01-02,RICHARDS_BAY,PARADIP,Capesize,15.5,12.5
2023-01-02,HAY_POINT,DHAMRA,Capesize,14.1,12.5
2023-01-02,GLADSTONE,PARADIP,Panamax,15.0,12.5
2023-01-02,TANJUNG_BARA,DHAMRA,Supramax,7.9,12.5
2023-01-02,BALIKPAPAN,KAMARAJAR,Supramax,7.6,12.5
2023-01-02,TANJUNG_BARA,PARADIP,Supramax,8.0,12.5
2023-01-02,HAY_POINT,VISAKHAPATNAM,Capesize,13.2,12.5
2023-01-03,BALIKPAPAN,KAMARAJAR,Supramax,7.0,12.5
2023-01-03,GLADSTONE,PARADIP,Panamax,14.8,12.5
2023-01-03,TANJUNG_BARA,PARADIP,Supramax,7.9,12.5
2023-01-03,TANJUNG_BARA,DHAMRA,Supramax,7.6,12.5
2023-01-03,HAY_POINT,PARADIP,Capesize,14.5,12.5
2023-01-03,RICHARDS_BAY,PARADIP,Capesize,16.0,12.5
2023-01-03,HAY_POINT,VISAKHAPATNAM,Capesize,14.5,12.5
2023-01-03,NEWCASTLE,DHAMRA,Panamax,16.0,12.5
2023-01-03,HAY_POINT,DHAMRA,Capesize,14.7,12.5
2023-01-03,MAPUTO,VISAKHAPATNAM,Panamax,15.9,12.5
2023-01-04,HAY_POINT,PARADIP,Capesize,14.6,12.5
2023-01-04,MAPUTO,VISAKHAPATNAM,Panamax,15.4,12.5
2023-01-04,HAY_POINT,VISAKHAPATNAM,Capesize,13.0,12.5
2023-01-04,HAY_POINT,DHAMRA,Capesize,14.2,12.5
2023-01-04,TANJUNG_BARA,PARADIP,Supramax,7.0,12.5
2023-01-04,RICHARDS_BAY,PARADIP,Capesize,14.3,12.5
2023-01-04,TANJUNG_BARA,DHAMRA,Supramax,7.7,12.5
2023-01-04,GLADSTONE,PARADIP,Panamax,15.4,12.5
2023-01-04,BALIKPAPAN,KAMARAJAR,Supramax,7.1,12.5
2023-01-04,NEWCASTLE,DHAMRA,Panamax,16.2,12.5
2023-01-05,GLADSTONE,PARADIP,Panamax,14.6,12.5
2023-01-05,TANJUNG_BARA,PARADIP,Supramax,6.7,12.5
2023-01-05,RICHARDS_BAY,PARADIP,Capesize,15.1,12.5
2023-01-05,HAY_POINT,PARADIP,Capesize,14.3,12.5
2023-01-05,HAY_POINT,VISAKHAPATNAM,Capesize,14.3,12.5
2023-01-05,BALIKPAPAN,KAMARAJAR,Supramax,7.7,12.5
2023-01-05,HAY_POINT,DHAMRA,Capesize,14.0,12.5
2023-01-05,NEWCASTLE,DHAMRA,Panamax,16.5,12.5
2023-01-05,TANJUNG_BARA,DHAMRA,Supramax,8.5,12.5
2023-01-05,MAPUTO,VISAKHAPATNAM,Panamax,14.8,12.5
2023-01-06,TANJUNG_BARA,PARADIP,Supramax,8.0,12.5
2023-01-06,TANJUNG_BARA,DHAMRA,Supramax,6.8,12.5
2023-01-06,RICHARDS_BAY,PARADIP,Capesize,15.3,12.5
2023-01-06,NEWCASTLE,DHAMRA,Panamax,15.0,12.5
2023-01-06,HAY_POINT,DHAMRA,Capesize,14.3,12.5
2023-01-06,MAPUTO,VISAKHAPATNAM,Panamax,13.9,12.5
2023-01-06,HAY_POINT,PARADIP,Capesize,14.4,12.5
2023-01-06,GLADSTONE,PARADIP,Panamax,14.3,12.5
2023-01-06,HAY_POINT,VISAKHAPATNAM,Capesize,14.0,12.5
2023-01-06,BALIKPAPAN,KAMARAJAR,Supramax,8.4,12.5
2023-01-07,GLADSTONE,PARADIP,Panamax,14.8,12.5
2023-01-07,TANJUNG_BARA,DHAMRA,Supramax,7.0,12.5
2023-01-07,BALIKPAPAN,KAMARAJAR,Supramax,6.2,12.5
2023-01-07,RICHARDS_BAY,PARADIP,Capesize,15.4,12.5
2023-01-07,HAY_POINT,VISAKHAPATNAM,Capesize,13.5,12.5
2023-01-07,HAY_POINT,DHAMRA,Capesize,13.6,12.5
2023-01-07,TANJUNG_BARA,PARADIP,Supramax,9.1,12.5
2023-01-07,HAY_POINT,PARADIP,Capesize,13.8,12.5
2023-01-07,MAPUTO,VISAKHAPATNAM,Panamax,15.1,12.5
2023-01-07,NEWCASTLE,DHAMRA,Panamax,15.5,12.5
2023-01-08,MAPUTO,VISAKHAPATNAM,Panamax,15.4,12.5
2023-01-08,RICHARDS_BAY,PARADIP,Capesize,16.2,12.5
2023-01-08,HAY_POINT,VISAKHAPATNAM,Capesize,14.1,12.5
2023-01-08,TANJUNG_BARA,PARADIP,Supramax,7.5,12.5
2023-01-08,GLADSTONE,PARADIP,Panamax,15.8,12.5
2023-01-08,HAY_POINT,PARADIP,Capesize,13.3,12.5
2023-01-08,NEWCASTLE,DHAMRA,Panamax,16.7,12.5
2023-01-08,TANJUNG_BARA,DHAMRA,Supramax,7.3,12.5
2023-01-08,HAY_POINT,DHAMRA,Capesize,14.0,12.5
2023-01-08,BALIKPAPAN,KAMARAJAR,Supramax,6.4,12.5
2023-01-09,GLADSTONE,PARADIP,Panamax,14.8,12.5
2023-01-09,HAY_POINT,VISAKHAPATNAM,Capesize,14.0,12.5
2023-01-09,BALIKPAPAN,KAMARAJAR,Supramax,7.3,12.5
2023-01-09,NEWCASTLE,DHAMRA,Panamax,16.4,12.5
2023-01-09,TANJUNG_BARA,PARADIP,Supramax,7.6,12.5
2023-01-09,HAY_POINT,PARADIP,Capesize,14.2,12.5
2023-01-09,HAY_POINT,DHAMRA,Capesize,13.6,12.5
2023-01-09,MAPUTO,VISAKHAPATNAM,Panamax,15.0,12.5
2023-01-09,TANJUNG_BARA,DHAMRA,Supramax,7.3,12.5
2023-01-09,RICHARDS_BAY,PARADIP,Capesize,14.3,12.5
2023-01-10,NEWCASTLE,DHAMRA,Panamax,15.3,12.5
2023-01-10,HAY_POINT,VISAKHAPATNAM,Capesize,12.9,12.5
2023-01-10,BALIKPAPAN,KAMARAJAR,Supramax,7.1,12.5
2023-01-10,GLADSTONE,PARADIP,Panamax,16.2,12.5
2023-01-10,TANJUNG_BARA,PARADIP,Supramax,7.6,12.5
2023-01-10,HAY_POINT,PARADIP,Capesize,14.8,12.5
2023-01-10,HAY_POINT,DHAMRA,Capesize,15.3,12.5
2023-01-10,MAPUTO,VISAKHAPATNAM,Panamax,14.8,12.5
2023-01-10,TANJUNG_BARA,DHAMRA,Supramax,7.9,12.5
2023-01-10,RICHARDS_BAY,PARADIP,Capesize,14.6,12.5
2023-01-11,RICHARDS_BAY,PARADIP,Capesize,15.2,12.5
2023-01-11,MAPUTO,VISAKHAPATNAM,Panamax,15.2,12.5
2023-01-11,HAY_POINT,VISAKHAPATNAM,Capesize,13.5,12.5
2023-01-11,BALIKPAPAN,KAMARAJAR,Supramax,8.0,12.5
2023-01-11,GLADSTONE,PARADIP,Panamax,14.6,12.5
2023-01-11,NEWCASTLE,DHAMRA,Panamax,16.0,12.5
2023-01-11,TANJUNG_BARA,PARADIP,Supramax,8.0,12.5
2023-01-11,HAY_POINT,DHAMRA,Capesize,13.3,12.5
2023-01-11,TANJUNG_BARA,DHAMRA,Supramax,7.5,12.5
2023-01-11,HAY_POINT,PARADIP,Capesize,14.1,12.5
2023-01-12,BALIKPAPAN,KAMARAJAR,Supramax,7.0,12.5
2023-01-12,NEWCASTLE,DHAMRA,Panamax,15.3,12.5
2023-01-12,HAY_POINT,DHAMRA,Capesize,14.1,12.5
2023-01-12,TANJUNG_BARA,DHAMRA,Supramax,7.1,12.5
2023-01-12,MAPUTO,VISAKHAPATNAM,Panamax,13.2,12.5
2023-01-12,RICHARDS_BAY,PARADIP,Capesize,15.8,12.5
2023-01-12,TANJUNG_BARA,PARADIP,Supramax,8.6,12.5
2023-01-12,HAY_POINT,VISAKHAPATNAM,Capesize,14.0,12.5
2023-01-12,GLADSTONE,PARADIP,Panamax,14.7,12.5
2023-01-12,HAY_POINT,PARADIP,Capesize,14.5,12.5
2023-01-13,MAPUTO,VISAKHAPATNAM,Panamax,13.7,12.5
2023-01-13,TANJUNG_BARA,PARADIP,Supramax,6.8,12.5
2023-01-13,NEWCASTLE,DHAMRA,Panamax,15.8,12.5
2023-01-13,HAY_POINT,VISAKHAPATNAM,Capesize,14.7,12.5
2023-01-13,BALIKPAPAN,KAMARAJAR,Supramax,7.1,12.5
2023-01-13,HAY_POINT,DHAMRA,Capesize,13.4,12.5
2023-01-13,TANJUNG_BARA,DHAMRA,Supramax,7.6,12.5
2023-01-13,HAY_POINT,PARADIP,Capesize,14.4,12.5
2023-01-13,RICHARDS_BAY,PARADIP,Capesize,15.2,12.5
2023-01-13,GLADSTONE,PARADIP,Panamax,15.8,12.5
2023-01-14,RICHARDS_BAY,PARADIP,Capesize,14.8,12.5
2023-01-14,NEWCASTLE,DHAMRA,Panamax,15.7,12.5
2023-01-14,BALIKPAPAN,KAMARAJAR,Supramax,7.8,12.5
2023-01-14,HAY_POINT,DHAMRA,Capesize,14.2,12.5
2023-01-14,GLADSTONE,PARADIP,Panamax,14.4,12.5
2023-01-14,TANJUNG_BARA,DHAMRA,Supramax,7.2,12.5
2023-01-14,HAY_POINT,PARADIP,Capesize,13.0,12.5
2023-01-14,HAY_POINT,VISAKHAPATNAM,Capesize,13.4,12.5
2023-01-14,TANJUNG_BARA,PARADIP,Supramax,8.1,12.5
2023-01-14,MAPUTO,VISAKHAPATNAM,Panamax,14.8,12.5
2023-01-15,GLADSTONE,PARADIP,Panamax,14.8,12.5
2023-01-15,TANJUNG_BARA,DHAMRA,Supramax,8.2,12.5
2023-01-15,HAY_POINT,DHAMRA,Capesize,14.3,12.5
2023-01-15,HAY_POINT,PARADIP,Capesize,14.3,12.5
2023-01-15,RICHARDS_BAY,PARADIP,Capesize,14.9,12.5
2023-01-15,MAPUTO,VISAKHAPATNAM,Panamax,13.1,12.5
2023-01-15,BALIKPAPAN,KAMARAJAR,Supramax,6.8,12.5
2023-01-15,HAY_POINT,VISAKHAPATNAM,Capesize,14.3,12.5
2023-01-15,NEWCASTLE,DHAMRA,Panamax,14.7,12.5
2023-01-15,TANJUNG_BARA,PARADIP,Supramax,7.7,12.5
2023-01-16,MAPUTO,VISAKHAPATNAM,Panamax,14.3,12.5
2023-01-16,RICHARDS_BAY,PARADIP,Capesize,15.8,12.5
2023-01-16,TANJUNG_BARA,PARADIP,Supramax,7.6,12.5
2023-01-16,BALIKPAPAN,KAMARAJAR,Supramax,6.9,12.5
2023-01-16,HAY_POINT,PARADIP,Capesize,14.7,12.5
2023-01-16,TANJUNG_BARA,DHAMRA,Supramax,7.7,12.5
2023-01-16,GLADSTONE,PARADIP,Panamax,14.3,12.5
2023-01-16,HAY_POINT,VISAKHAPATNAM,Capesize,15.0,12.5
2023-01-16,HAY_POINT,DHAMRA,Capesize,14.7,12.5
2023-01-16,NEWCASTLE,DHAMRA,Panamax,16.3,12.5
2023-01-17,HAY_POINT,PARADIP,Capesize,14.5,12.5
2023-01-17,GLADSTONE,PARADIP,Panamax,15.5,12.5
2023-01-17,MAPUTO,VISAKHAPATNAM,Panamax,15.7,12.5
2023-01-17,HAY_POINT,VISAKHAPATNAM,Capesize,13.2,12.5
2023-01-17,HAY_POINT,DHAMRA,Capesize,12.5,12.5
2023-01-17,BALIKPAPAN,KAMARAJAR,Supramax,7.0,12.5
2023-01-17,TANJUNG_BARA,DHAMRA,Supramax,6.9,12.5
2023-01-17,RICHARDS_BAY,PARADIP,Capesize,15.6,12.5
2023-01-17,NEWCASTLE,DHAMRA,Panamax,15.6,12.5
2023-01-17,TANJUNG_BARA,PARADIP,Supramax,8.3,12.5
2023-01-18,HAY_POINT,DHAMRA,Capesize,13.4,12.5
2023-01-18,GLADSTONE,PARADIP,Panamax,15.8,12.5
2023-01-18,BALIKPAPAN,KAMARAJAR,Supramax,7.3,12.5
2023-01-18,RICHARDS_BAY,PARADIP,Capesize,15.2,12.5
2023-01-18,MAPUTO,VISAKHAPATNAM,Panamax,14.9,12.5
2023-01-18,NEWCASTLE,DHAMRA,Panamax,16.0,12.5
2023-01-18,TANJUNG_BARA,DHAMRA,Supramax,7.6,12.5
2023-01-18,HAY_POINT,VISAKHAPATNAM,Capesize,13.1,12.5
2023-01-18,HAY_POINT,PARADIP,Capesize,14.1,12.5
