forecast_date,origin_port,destination_port,cargo_type,bunker_vlsfo_usd_ton,coal_type,import_volume_tons
2023-01-01,BALIKPAPAN,KAMARAJAR,Thermal Coal,619.4,Thermal Coal,70000.0
2023-01-01,HAY_POINT,DHAMRA,Coking Coal,619.4,Coking Coal,70000.0
2023-01-01,HAY_POINT,PARADIP,Coking Coal,619.4,Coking Coal,70000.0
2023-01-01,HAY_POINT,VISAKHAPATNAM,Coking Coal,619.4,Coking Coal,70000.0
2023-01-01,MAPUTO,VISAKHAPATNAM,Coking Coal,619.4,Coking Coal,70000.0
2023-01-01,NEWCASTLE,DHAMRA,Thermal Coal,619.4,Thermal Coal,70000.0
2023-01-01,RICHARDS_BAY,PARADIP,Thermal Coal,619.4,Thermal Coal,70000.0
2023-01-01,TANJUNG_BARA,DHAMRA,Thermal Coal,619.4,Thermal Coal,70000.0
2023-01-01,TANJUNG_BARA,PARADIP,Thermal Coal,619.4,Thermal Coal,70000.0
2023-01-01,GLADSTONE,PARADIP,Coking Coal,619.4,Coking Coal,70000.0
2023-01-02,HAY_POINT,PARADIP,Coking Coal,618.5,Coking Coal,70000.0
2023-01-02,NEWCASTLE,DHAMRA,Thermal Coal,618.5,Thermal Coal,70000.0
2023-01-02,MAPUTO,VISAKHAPATNAM,Coking Coal,618.5,Coking Coal,70000.0
2023-01-02,RICHARDS_BAY,PARADIP,Thermal Coal,618.5,Thermal Coal,70000.0
2023-01-02,HAY_POINT,DHAMRA,Coking Coal,618.5,Coking Coal,70000.0
2023-01-02,GLADSTONE,PARADIP,Coking Coal,618.5,Coking Coal,70000.0
2023-01-02,TANJUNG_BARA,DHAMRA,Thermal Coal,618.5,Thermal Coal,70000.0
2023-01-02,BALIKPAPAN,KAMARAJAR,Thermal Coal,618.5,Thermal Coal,70000.0
2023-01-02,TANJUNG_BARA,PARADIP,Thermal Coal,618.5,Thermal Coal,70000.0
2023-01-02,HAY_POINT,VISAKHAPATNAM,Coking Coal,618.5,Coking Coal,70000.0
2023-01-03,BALIKPAPAN,KAMARAJAR,Thermal Coal,621.6,Thermal Coal,70000.0
2023-01-03,GLADSTONE,PARADIP,Coking Coal,621.6,Coking Coal,70000.0
2023-01-03,TANJUNG_BARA,PARADIP,Thermal Coal,621.6,Thermal Coal,70000.0
2023-01-03,TANJUNG_BARA,DHAMRA,Thermal Coal,621.6,Thermal Coal,70000.0
2023-01-03,HAY_POINT,PARADIP,Coking Coal,621.6,Coking Coal,70000.0
2023-01-03,RICHARDS_BAY,PARADIP,Thermal Coal,621.6,Thermal Coal,70000.0
2023-01-03,HAY_POINT,VISAKHAPATNAM,Coking Coal,621.6,Coking Coal,70000.0
2023-01-03,NEWCASTLE,DHAMRA,Thermal Coal,621.6,Thermal Coal,70000.0
2023-01-03,HAY_POINT,DHAMRA,Coking Coal,621.6,Coking Coal,70000.0
2023-01-03,MAPUTO,VISAKHAPATNAM,Coking Coal,621.6,Coking Coal,70000.0
2023-01-04,HAY_POINT,PARADIP,Coking Coal,619.7,Coking Coal,70000.0
2023-01-04,MAPUTO,VISAKHAPATNAM,Coking Coal,619.7,Coking Coal,70000.0
2023-01-04,HAY_POINT,VISAKHAPATNAM,Coking Coal,619.7,Coking Coal,70000.0
2023-01-04,HAY_POINT,DHAMRA,Coking Coal,619.7,Coking Coal,70000.0
2023-01-04,TANJUNG_BARA,PARADIP,Thermal Coal,619.7,Thermal Coal,70000.0
2023-01-04,RICHARDS_BAY,PARADIP,Thermal Coal,619.7,Thermal Coal,70000.0
2023-01-04,TANJUNG_BARA,DHAMRA,Thermal Coal,619.7,Thermal Coal,70000.0
2023-01-04,GLADSTONE,PARADIP,Coking Coal,619.7,Coking Coal,70000.0
2023-01-04,BALIKPAPAN,KAMARAJAR,Thermal Coal,619.7,Thermal Coal,70000.0
2023-01-04,NEWCASTLE,DHAMRA,Thermal Coal,619.7,Thermal Coal,70000.0
2023-01-05,GLADSTONE,PARADIP,Coking Coal,612.1,Coking Coal,70000.0
2023-01-05,TANJUNG_BARA,PARADIP,Thermal Coal,612.1,Thermal Coal,70000.0
2023-01-05,RICHARDS_BAY,PARADIP,Thermal Coal,612.1,Thermal Coal,70000.0
2023-01-05,HAY_POINT,PARADIP,Coking Coal,612.1,Coking Coal,70000.0
2023-01-05,HAY_POINT,VISAKHAPATNAM,Coking Coal,612.1,Coking Coal,70000.0
2023-01-05,BALIKPAPAN,KAMARAJAR,Thermal Coal,612.1,Thermal Coal,70000.0
2023-01-05,HAY_POINT,DHAMRA,Coking Coal,612.1,Coking Coal,70000.0
2023-01-05,NEWCASTLE,DHAMRA,Thermal Coal,612.1,Thermal Coal,70000.0
2023-01-05,TANJUNG_BARA,DHAMRA,Thermal Coal,612.1,Thermal Coal,70000.0
2023-01-05,MAPUTO,VISAKHAPATNAM,Coking Coal,612.1,Coking Coal,70000.0
2023-01-06,TANJUNG_BARA,PARADIP,Thermal Coal,608.0,Thermal Coal,70000.0
2023-01-06,TANJUNG_BARA,DHAMRA,Thermal Coal,608.0,Thermal Coal,70000.0
2023-01-06,RICHARDS_BAY,PARADIP,Thermal Coal,608.0,Thermal Coal,70000.0
2023-01-06,NEWCASTLE,DHAMRA,Thermal Coal,608.0,Thermal Coal,70000.0
2023-01-06,HAY_POINT,DHAMRA,Coking Coal,608.0,Coking Coal,70000.0
2023-01-06,MAPUTO,VISAKHAPATNAM,Coking Coal,608.0,Coking Coal,70000.0
