forecast_date,origin_port,destination_port,cargo_type,vessel_class,freight_usd_per_ton,freight_lag_1d,freight_lag_3d,freight_lag_7d,freight_lag_14d,freight_lag_30d,freight_rolling_mean_7d,freight_rolling_std_7d,freight_rolling_mean_30d,freight_rolling_std_30d,freight_rolling_mean_90d,freight_rolling_std_90d,freight_momentum_7d,freight_pct_change_7d,freight_volatility_30d
2023-01-01,BALIKPAPAN,KAMARAJAR,Thermal Coal,Supramax,10.81,,,,,,,0.0,,0.0,,0.0,,0.0,0.0
2023-01-01,HAY_POINT,DHAMRA,Coking Coal,Capesize,18.21,,,,,,,0.0,,0.0,,0.0,,0.0,0.0
2023-01-01,HAY_POINT,PARADIP,Coking Coal,Capesize,18.48,,,,,,,0.0,,0.0,,0.0,,0.0,0.0
2023-01-01,HAY_POINT,VISAKHAPATNAM,Coking Coal,Capesize,17.83,,,,,,,0.0,,0.0,,0.0,,0.0,0.0
2023-01-01,MAPUTO,VISAKHAPATNAM,Coking Coal,Panamax,19.5,,,,,,,0.0,,0.0,,0.0,,0.0,0.0
2023-01-01,NEWCASTLE,DHAMRA,Thermal Coal,Panamax,21.98,,,,,,,0.0,,0.0,,0.0,,0.0,0.0
2023-01-01,RICHARDS_BAY,PARADIP,Thermal Coal,Capesize,16.5,,,,,,,0.0,,0.0,,0.0,,0.0,0.0
2023-01-01,TANJUNG_BARA,DHAMRA,Thermal Coal,Supramax,11.15,,,,,,,0.0,,0.0,,0.0,,0.0,0.0
2023-01-01,TANJUNG_BARA,PARADIP,Thermal Coal,Supramax,11.51,,,,,,,0.0,,0.0,,0.0,,0.0,0.0
2023-01-01,GLADSTONE,PARADIP,Coking Coal,Panamax,21.46,,,,,,,0.0,,0.0,,0.0,,0.0,0.0
2023-01-02,HAY_POINT,PARADIP,Coking Coal,Capesize,18.53,18.48,,,,,18.48,0.0,18.48,0.0,18.48,0.0,,0.0,0.0
2023-01-02,NEWCASTLE,DHAMRA,Thermal Coal,Panamax,22.06,21.98,,,,,21.98,0.0,21.98,0.0,21.98,0.0,,0.0,0.0
2023-01-02,MAPUTO,VISAKHAPATNAM,Coking Coal,Panamax,19.56,19.5,,,,,19.5,0.0,19.5,0.0,19.5,0.0,,0.0,0.0
2023-01-02,RICHARDS_BAY,PARADIP,Thermal Coal,Capesize,16.59,16.5,,,,,16.5,0.0,16.5,0.0,16.5,0.0,,0.0,0.0
2023-01-02,HAY_POINT,DHAMRA,Coking Coal,Capesize,18.27,18.21,,,,,18.21,0.0,18.21,0.0,18.21,0.0,,0.0,0.0
2023-01-02,GLADSTONE,PARADIP,Coking Coal,Panamax,21.5,21.46,,,,,21.46,0.0,21.46,0.0,21.46,0.0,,0.0,0.0
2023-01-02,TANJUNG_BARA,DHAMRA,Thermal Coal,Supramax,11.16,11.15,,,,,11.15,0.0,11.15,0.0,11.15,0.0,,0.0,0.0
2023-01-02,BALIKPAPAN,KAMARAJAR,Thermal Coal,Supramax,10.81,10.81,,,,,10.81,0.0,10.81,0.0,10.81,0.0,,0.0,0.0
2023-01-02,TANJUNG_BARA,PARADIP,Thermal Coal,Supramax,11.52,11.51,,,,,11.51,0.0,11.51,0.0,11.51,0.0,,0.0,0.0
2023-01-02,HAY_POINT,VISAKHAPATNAM,Coking Coal,Capesize,17.88,17.83,,,,,17.83,0.0,17.83,0.0,17.83,0.0,,0.0,0.0
2023-01-03,BALIKPAPAN,KAMARAJAR,Thermal Coal,Supramax,10.86,10.81,,,,,10.81,0.0,10.81,0.0,10.81,0.0,,0.0,0.0
2023-01-03,GLADSTONE,PARADIP,Coking Coal,Panamax,21.6,21.5,,,,,21.48,0.028284271247461298,21.48,0.028284271247461298,21.48,0.028284271247461298,,0.0,0.0013167724044441944
2023-01-03,TANJUNG_BARA,PARADIP,Thermal Coal,Supramax,11.59,11.52,,,,,11.515,0.0070710678118646965,11.515,0.0070710678118646965,11.515,0.0070710678118646965,,0.0,0.0006140744951684495
2023-01-03,TANJUNG_BARA,DHAMRA,Thermal Coal,Supramax,11.28,11.16,,,,,11.155000000000001,0.0070710678118646965,11.155000000000001,0.0070710678118646965,11.155000000000001,0.0070710678118646965,,0.0,0.000633892228764204
2023-01-03,HAY_POINT,PARADIP,Coking Coal,Capesize,18.62,18.53,,,,,18.505000000000003,0.03535533905932662,18.505000000000003,0.03535533905932662,18.505000000000003,0.03535533905932662,,0.0,0.0019105830348190552
2023-01-03,RICHARDS_BAY,PARADIP,Thermal Coal,Capesize,16.62,16.59,,,,,16.545,0.06363961030678791,16.545,0.06363961030678791,16.545,0.06363961030678791,,0.0,0.0038464557453483173
2023-01-03,HAY_POINT,VISAKHAPATNAM,Coking Coal,Capesize,17.97,17.88,,,,,17.854999999999997,0.03535533905932913,17.854999999999997,0.03535533905932913,17.854999999999997,0.03535533905932913,,0.0,0.0019801366037148775
2023-01-03,NEWCASTLE,DHAMRA,Thermal Coal,Panamax,22.16,22.06,,,,,22.02,0.056568542494922595,22.02,0.056568542494922595,22.02,0.056568542494922595,,0.0,0.0025689619661636055
2023-01-03,HAY_POINT,DHAMRA,Coking Coal,Capesize,18.37,18.27,,,,,18.240000000000002,0.04242640687119069,18.240000000000002,0.04242640687119069,18.240000000000002,0.04242640687119069,,0.0,0.00232600914863984
2023-01-03,MAPUTO,VISAKHAPATNAM,Coking Coal,Panamax,19.65,19.56,,,,,19.53,0.04242640687119069,19.53,0.04242640687119069,19.53,0.04242640687119069,,0.0,0.0021723710635530307
2023-01-04,HAY_POINT,PARADIP,Coking Coal,Capesize,18.67,18.62,18.48,,,,18.543333333333333,0.07094598884597436,18.543333333333333,0.07094598884597436,18.543333333333333,0.07094598884597436,,0.0,0.00382595661581742
2023-01-04,MAPUTO,VISAKHAPATNAM,Coking Coal,Panamax,19.66,19.65,19.5,,,,19.569999999999997,0.07549834435270554,19.569999999999997,0.07549834435270554,19.569999999999997,0.07549834435270554,,0.0,0.003857861234169931
2023-01-04,HAY_POINT,VISAKHAPATNAM,Coking Coal,Capesize,17.98,17.97,17.83,,,,17.89333333333333,0.07094598884597739,17.89333333333333,0.07094598884597739,17.89333333333333,0.07094598884597739,,0.0,0.003964939764119452
2023-01-04,HAY_POINT,DHAMRA,Coking Coal,Capesize,18.4,18.37,18.21,,,,18.283333333333335,0.0808290376865465,18.283333333333335,0.0808290376865465,18.283333333333335,0.0808290376865465,,0.0,0.004420913638279663
2023-01-04,TANJUNG_BARA,PARADIP,Thermal Coal,Supramax,11.69,11.59,11.51,,,,11.54,0.04358898943540601,11.54,0.04358898943540601,11.54,0.04358898943540601,,0.0,0.003777208789896535
2023-01-04,RICHARDS_BAY,PARADIP,Thermal Coal,Capesize,16.65,16.62,16.5,,,,16.57,0.06244997998398336,16.57,0.06244997998398336,16.57,0.06244997998398336,,0.0,0.0037688581764624843
2023-01-04,TANJUNG_BARA,DHAMRA,Thermal Coal,Supramax,11.33,11.28,11.15,,,,11.196666666666667,0.0723417813807013,11.196666666666667,0.0723417813807013,11.196666666666667,0.0723417813807013,,0.0,0.006461010543081389
2023-01-04,GLADSTONE,PARADIP,Coking Coal,Panamax,21.62,21.6,21.46,,,,21.52,0.07211102550928071,21.52,0.07211102550928071,21.52,0.07211102550928071,,0.0,0.0033508840850037507
