shipment_id,origin_port,destination_port,cargo_type,cargo_size_tons,market_regime,freight_rate_p10_usd_ton,freight_rate_p50_usd_ton,freight_rate_p90_usd_ton,rank,vessel_id,vessel_name,vessel_class,availability_status,port_feasible,predicted_voyage_cost_p10_usd,predicted_voyage_cost_p50_usd,predicted_voyage_cost_p90_usd,market_avg_cost_usd,savings_vs_market_pct,estimated_transit_days,probability_on_time,multi_objective_score,decision,exclusion_or_risk_flags
SHP_001,HAY_POINT,DHAMRA,Coking Coal,70000.0,HIGH_VOLATILITY,17.35,18.12,18.37,1,VSL_9002329,MV GLOBAL FORTUNE 17,Panamax,available,True,1613173.19,1667073.19,1684573.19,1721254.89,3.15,14.3,1.0,1.0,CHARTER,MARKET_REGIME_HIGH_VOLATILITY
SHP_001,HAY_POINT,DHAMRA,Coking Coal,70000.0,HIGH_VOLATILITY,17.35,18.12,18.37,2,VSL_9001370,MV VISHAL FORTUNE 10,Panamax,available,True,1616955.9,1670855.9,1688355.9,1721254.89,2.93,14.3,1.0,0.9952,CHARTER,MARKET_REGIME_HIGH_VOLATILITY
SHP_001,HAY_POINT,DHAMRA,Coking Coal,70000.0,HIGH_VOLATILITY,17.35,18.12,18.37,3,VSL_9003699,MV EASTERN ENTERPRISE 27,Panamax,available,True,1624811.64,1678711.64,1696211.64,1721254.89,2.47,14.3,1.0,0.9851,CHARTER,MARKET_REGIME_HIGH_VOLATILITY
SHP_001,HAY_POINT,DHAMRA,Coking Coal,70000.0,HIGH_VOLATILITY,17.35,18.12,18.37,4,VSL_9000822,MV OCEAN VOYAGER 6,Panamax,available,True,1627074.92,1680974.92,1698474.92,1721254.89,2.34,14.3,1.0,0.9822,CHARTER,MARKET_REGIME_HIGH_VOLATILITY
SHP_001,HAY_POINT,DHAMRA,Coking Coal,70000.0,HIGH_VOLATILITY,17.35,18.12,18.37,5,VSL_9001781,MV GLOBAL TRADER 13,Panamax,available,True,1630756.92,1684656.92,1702156.92,1721254.89,2.13,14.3,1.0,0.9775,CHARTER,MARKET_REGIME_HIGH_VOLATILITY
SHP_002,GLADSTONE,PARADIP,Coking Coal,75000.0,HIGH_VOLATILITY,17.35,19.16,20.18,1,VSL_9001370,MV VISHAL FORTUNE 10,Panamax,available,True,1719664.7,1855414.7,1931914.7,1885287.91,1.58,15.2,1.0,1.0,WAIT,MARKET_REGIME_HIGH_VOLATILITY
SHP_002,GLADSTONE,PARADIP,Coking Coal,75000.0,HIGH_VOLATILITY,17.35,19.16,20.18,2,VSL_9001781,MV GLOBAL TRADER 13,Panamax,available,True,1734302.72,1870052.72,1946552.72,1885287.91,0.81,15.2,1.0,0.8308,WAIT,MARKET_REGIME_HIGH_VOLATILITY
SHP_002,GLADSTONE,PARADIP,Coking Coal,75000.0,HIGH_VOLATILITY,17.35,19.16,20.18,3,VSL_9003288,MV EASTERN TRADER 24,Panamax,available,True,1742724.7,1878474.7,1954974.7,1885287.91,0.36,15.2,1.0,0.7335,WAIT,MARKET_REGIME_HIGH_VOLATILITY
SHP_002,GLADSTONE,PARADIP,Coking Coal,75000.0,HIGH_VOLATILITY,17.35,19.16,20.18,4,VSL_9002877,MV GLOBAL NAVIGATOR 21,Panamax,available,True,1746699.84,1882449.84,1958949.84,1885287.91,0.15,15.2,1.0,0.6875,WAIT,MARKET_REGIME_HIGH_VOLATILITY
SHP_002,GLADSTONE,PARADIP,Coking Coal,75000.0,HIGH_VOLATILITY,17.35,19.16,20.18,5,VSL_9005206,MV GLOBAL LEADER 38,Panamax,available,True,1750059.7,1885809.7,1962309.7,1885287.91,-0.03,15.2,1.0,0.6487,WAIT,MARKET_REGIME_HIGH_VOLATILITY
SHP_003,TANJUNG_BARA,VISAKHAPATNAM,Thermal Coal,55000.0,HIGH_VOLATILITY,17.06,18.12,18.37,1,VSL_9000137,MV BHARAT NAVIGATOR 1,Supramax,available,True,1142783.05,1201083.05,1214833.05,1284528.91,6.5,7.4,0.999,0.9998,CHARTER,MARKET_REGIME_HIGH_VOLATILITY
SHP_003,TANJUNG_BARA,VISAKHAPATNAM,Thermal Coal,55000.0,HIGH_VOLATILITY,17.06,18.12,18.37,2,VSL_9002740,MV EASTERN TRADER 20,Supramax,available,True,1154310.04,1212610.04,1226360.04,1284528.91,5.6,7.4,0.999,0.9878,CHARTER,MARKET_REGIME_HIGH_VOLATILITY
SHP_003,TANJUNG_BARA,VISAKHAPATNAM,Thermal Coal,55000.0,HIGH_VOLATILITY,17.06,18.12,18.37,3,VSL_9000411,MV STEEL VOYAGER 3,Supramax,available,True,1156272.18,1214572.18,1228322.18,1284528.91,5.45,7.4,0.999,0.9857,CHARTER,MARKET_REGIME_HIGH_VOLATILITY
